open_time,open,high,low,close,volume,taker_buy_base_asset_volume
2025-06-14 05:53:00+00:00,105304.1,105304.1,105292.9,105293.0,13.392,2.917
2025-06-14 05:54:00+00:00,105292.9,105292.9,105250.0,105250.1,24.357,2.026
2025-06-14 05:55:00+00:00,105250.0,105263.5,105250.0,105263.5,13.092,9.712
2025-06-14 05:56:00+00:00,105263.4,105268.1,105259.0,105259.1,13.562,3.546
2025-06-14 05:57:00+00:00,105259.1,105259.1,105237.9,105244.6,20.179,6.366
2025-06-14 05:58:00+00:00,105244.7,105252.7,105244.6,105252.7,5.027,2.343
2025-06-14 05:59:00+00:00,105252.7,105252.7,105237.8,105237.8,25.943,3.418
2025-06-14 06:00:00+00:00,105237.8,105246.4,105236.1,105246.3,18.508,16.448
2025-06-14 06:01:00+00:00,105246.3,105252.7,105246.3,105252.6,8.863,7.415
2025-06-14 06:02:00+00:00,105252.6,105264.8,105235.8,105247.8,66.23,48.946
2025-06-14 06:03:00+00:00,105247.8,105247.9,105218.6,105218.6,16.809,7.899
2025-06-14 06:04:00+00:00,105218.6,105218.7,105217.9,105217.9,22.301,13.661
2025-06-14 06:05:00+00:00,105217.9,105218.0,105202.9,105203.0,21.173,1.821
2025-06-14 06:06:00+00:00,105203.0,105203.0,105166.6,105166.7,57.404,4.75
2025-06-14 06:07:00+00:00,105166.6,105178.0,105154.0,105177.9,76.569,53.21
2025-06-14 06:08:00+00:00,105177.9,105178.0,105160.7,105160.9,19.03,6.84
2025-06-14 06:09:00+00:00,105160.9,105263.2,105160.9,105256.3,133.112,108.779
2025-06-14 06:10:00+00:00,105256.3,105260.0,105256.2,105260.0,16.833,14.779
2025-06-14 06:11:00+00:00,105260.0,105279.6,105247.9,105248.0,24.203,11.072
2025-06-14 06:12:00+00:00,105247.9,105248.0,105187.8,105218.0,96.006,20.162
2025-06-14 06:13:00+00:00,105218.0,105222.8,105211.9,105211.9,19.15,2.342
2025-06-14 06:14:00+00:00,105212.0,105212.0,105185.1,105185.1,14.624,3.661
2025-06-14 06:15:00+00:00,105185.2,105199.9,105180.9,105199.8,10.107,6.415
2025-06-14 06:16:00+00:00,105199.8,105199.9,105199.8,105199.9,4.499,2.95
2025-06-14 06:17:00+00:00,105199.9,105199.9,105108.0,105147.8,152.155,26.925
2025-06-14 06:18:00+00:00,105147.8,105167.0,105147.7,105152.4,29.488,16.404
2025-06-14 06:19:00+00:00,105152.3,105152.4,105101.1,105103.1,57.155,20.297
2025-06-14 06:20:00+00:00,105103.0,105103.1,105073.2,105103.0,87.589,37.326
2025-06-14 06:21:00+00:00,105103.0,105103.0,105071.5,105071.5,51.969,14.259
2025-06-14 06:22:00+00:00,105071.5,105099.8,105050.0,105062.9,106.075,34.419
2025-06-14 06:23:00+00:00,105062.9,105125.0,105062.9,105100.1,157.075,141.372
2025-06-14 06:24:00+00:00,105100.0,105132.7,105100.0,105108.3,43.041,27.147
2025-06-14 06:25:00+00:00,105108.2,105108.3,105084.6,105084.7,25.806,3.758
2025-06-14 06:26:00+00:00,105084.7,105136.1,105084.6,105116.0,133.698,120.549
2025-06-14 06:27:00+00:00,105116.0,105125.3,105107.5,105117.9,23.797,16.821
2025-06-14 06:28:00+00:00,105117.9,105126.5,105117.9,105126.4,18.931,16.537
2025-06-14 06:29:00+00:00,105126.5,105126.5,105122.4,105122.4,16.102,8.296
2025-06-14 06:30:00+00:00,105122.4,105122.5,105120.1,105120.2,14.835,8.123
2025-06-14 06:31:00+00:00,105120.2,105120.2,105090.1,105090.1,35.8,2.037
2025-06-14 06:32:00+00:00,105090.1,105090.2,105084.9,105084.9,24.276,5.046
2025-06-14 06:33:00+00:00,105084.9,105119.9,105069.9,105097.6,172.428,113.492
2025-06-14 06:34:00+00:00,105097.6,105119.7,105097.6,105112.5,30.753,15.943
2025-06-14 06:35:00+00:00,105112.4,105120.1,105112.4,105112.5,13.185,3.833
2025-06-14 06:36:00+00:00,105112.4,105177.5,105112.4,105170.3,52.808,42.397
2025-06-14 06:37:00+00:00,105170.4,105170.4,105157.2,105157.2,22.84,7.599
2025-06-14 06:38:00+00:00,105157.2,105157.3,105134.9,105153.7,19.972,13.892
2025-06-14 06:39:00+00:00,105153.8,105153.8,105142.0,105142.0,8.67,1.65
2025-06-14 06:40:00+00:00,105142.0,105144.7,105138.0,105144.6,9.415,5.957
2025-06-14 06:41:00+00:00,105144.6,105144.7,105107.8,105107.8,23.215,3.392
2025-06-14 06:42:00+00:00,105107.8,105135.4,105107.8,105129.1,18.374,11.521
2025-06-14 06:43:00+00:00,105129.1,105144.6,105129.0,105144.6,16.227,10.382
2025-06-14 06:44:00+00:00,105144.5,105144.6,105144.5,105144.6,2.053,1.174
2025-06-14 06:45:00+00:00,105144.5,105144.6,105115.0,105129.9,27.811,8.273
2025-06-14 06:46:00+00:00,105130.0,105140.0,105130.0,105140.0,6.287,5.467
2025-06-14 06:47:00+00:00,105140.0,105140.0,105139.9,105140.0,3.845,2.213
2025-06-14 06:48:00+00:00,105139.9,105140.0,105139.9,105139.9,3.454,1.302
2025-06-14 06:49:00+00:00,105140.0,105140.0,105102.2,105102.2,7.443,1.063
2025-06-14 06:50:00+00:00,105102.2,105121.5,105102.2,105115.3,16.014,8.302
2025-06-14 06:51:00+00:00,105115.4,105125.7,105115.3,105125.1,16.03,12.507
2025-06-14 06:52:00+00:00,105125.0,105125.1,105090.3,105090.3,29.037,5.174
2025-06-14 06:53:00+00:00,105090.3,105090.4,105090.3,105090.3,8.728,3.92
2025-06-14 06:54:00+00:00,105090.3,105090.4,105081.9,105082.0,14.932,3.397
2025-06-14 06:55:00+00:00,105081.9,105082.0,105069.8,105080.4,65.643,15.715
2025-06-14 06:56:00+00:00,105080.4,105085.9,105079.9,105085.8,18.696,7.787
2025-06-14 06:57:00+00:00,105085.9,105087.9,105079.0,105086.1,36.596,13.924
2025-06-14 06:58:00+00:00,105086.1,105086.2,105064.2,105064.2,15.553,1.062
2025-06-14 06:59:00+00:00,105064.2,105064.3,105054.0,105054.0,33.179,7.581
2025-06-14 07:00:00+00:00,105053.7,105053.7,105052.6,105052.6,40.543,7.944
2025-06-14 07:01:00+00:00,105052.6,105052.6,105030.2,105030.2,107.436,41.197
2025-06-14 07:02:00+00:00,105030.2,105030.3,105011.3,105011.4,61.056,25.057
2025-06-14 07:03:00+00:00,105011.4,105020.7,104995.3,105006.2,243.402,90.737
2025-06-14 07:04:00+00:00,105006.2,105013.6,105000.0,105000.0,31.077,9.642
2025-06-14 07:05:00+00:00,105000.1,105000.1,104962.6,104962.6,154.712,49.256
2025-06-14 07:06:00+00:00,104962.7,104962.7,104951.1,104951.2,105.281,29.852
2025-06-14 07:07:00+00:00,104951.1,104951.2,104940.8,104940.8,85.181,27.4
2025-06-14 07:08:00+00:00,104940.8,104940.9,104888.0,104888.1,196.739,57.798
2025-06-14 07:09:00+00:00,104888.0,104921.3,104888.0,104921.3,117.621,90.692
2025-06-14 07:10:00+00:00,104921.3,104929.4,104915.9,104916.0,80.727,22.724
2025-06-14 07:11:00+00:00,104916.0,104916.0,104897.0,104900.1,93.435,39.142
2025-06-14 07:12:00+00:00,104900.1,104900.1,104887.7,104887.7,72.591,17.806
2025-06-14 07:13:00+00:00,104887.7,104900.0,104883.0,104894.1,56.908,31.304
2025-06-14 07:14:00+00:00,104894.0,104894.1,104894.0,104894.0,21.922,8.839
2025-06-14 07:15:00+00:00,104894.1,104947.4,104891.6,104911.3,169.912,40.5
2025-06-14 07:16:00+00:00,104911.3,104911.3,104891.6,104891.6,37.289,11.315
2025-06-14 07:17:00+00:00,104891.6,104891.7,104891.6,104891.7,10.481,3.54
2025-06-14 07:18:00+00:00,104891.7,104898.9,104891.6,104898.9,39.137,21.512
2025-06-14 07:19:00+00:00,104898.9,104898.9,104826.2,104831.5,139.879,28.087
2025-06-14 07:20:00+00:00,104831.5,104831.6,104810.8,104810.8,78.068,9.772
2025-06-14 07:21:00+00:00,104810.8,104810.9,104738.7,104774.9,278.354,124.525
2025-06-14 07:22:00+00:00,104774.9,104855.9,104774.8,104855.9,94.447,65.333
2025-06-14 07:23:00+00:00,104855.9,104899.9,104850.0,104899.9,96.471,51.919
2025-06-14 07:24:00+00:00,104899.8,104899.9,104858.8,104886.7,42.016,29.283
2025-06-14 07:25:00+00:00,104886.7,104933.2,104886.6,104923.0,112.81,84.188
2025-06-14 07:26:00+00:00,104923.1,104936.1,104901.7,104904.2,69.676,28.056
2025-06-14 07:27:00+00:00,104904.3,104940.8,104904.2,104940.8,32.261,28.556
